Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,SignalSize,KernelSize,Mean,Error,StdDev,Allocated
Convolve2D_AutoAdaptiveGate,Job-XOHDZW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,6,Default,1,Default,Default,Default,Default,Default,Default,16,2,48,5,42.65 μs,0.760 μs,0.271 μs,0 B
Convolve2D_AutoAdaptiveGate,Job-XOHDZW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,6,Default,1,Default,Default,Default,Default,Default,Default,16,2,48,9,129.09 μs,1.487 μs,0.386 μs,0 B
Convolve2D_AutoAdaptiveGate,Job-XOHDZW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,6,Default,1,Default,Default,Default,Default,Default,Default,16,2,64,5,75.69 μs,3.123 μs,1.114 μs,0 B
Convolve2D_AutoAdaptiveGate,Job-XOHDZW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,6,Default,1,Default,Default,Default,Default,Default,Default,16,2,64,9,230.72 μs,8.283 μs,2.954 μs,0 B
Convolve2D_AutoAdaptiveGate,Job-XOHDZW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,6,Default,1,Default,Default,Default,Default,Default,Default,16,2,128,5,302.17 μs,7.283 μs,1.891 μs,0 B
Convolve2D_AutoAdaptiveGate,Job-XOHDZW,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,6,Default,1,Default,Default,Default,Default,Default,Default,16,2,128,9,924.92 μs,22.561 μs,8.046 μs,0 B
